coiid,ecoclassidPES,mukey
627908,R018XI999CA,460264
631787,R018XY999CA,461127
638252,F018XC201CA,463565
632879,R018XI999CA,461845
638258,F018XC201CA,463566
642739,R018XC999CA,465076
665823,R018XA999CA,471110
627915,R018XI999CA,460266
628350,F018XI200CA,460368
628351,F018XI201CA,460368
632886,R018XY999CA,461846
638266,F018XC201CA,463567
642537,R022AI102CA,464978
642740,R018XC999CA,465077
628355,F018XI200CA,460370
632891,F018XI200CA,461847
639690,R018XE103CA,467467
642538,R022AI102CA,464979
642741,R018XC999CA,465078
665829,R018XA999CA,471112
627923,R018XY999CA,460268
628360,F018XI201CA,460372
632899,F018XI200CA,461848
638282,R018XC999CA,463569
642541,R022AI102CA,464980
642743,,465079
627930,R018XY999CA,460269
628365,R018XI999CA,460374
632907,F018XI200CA,461849
638291,R018XC999CA,463570
642744,R018XC999CA,465080
652439,R018XY999CA,461129
627934,F018XI200CA,460270
628370,F018XI201CA,460376
632913,F018XI200CA,461850
638297,R018XC999CA,463571
642745,R018XC999CA,465081
642876,F018XC201CA,465153
627936,F018XI205CA,460271
628372,F018XI201CA,460378
632921,F018XI200CA,461851
638304,R018XC999CA,463572
642746,R018XC999CA,465082
642877,R018XC999CA,465154
627941,F018XI205CA,460272
628377,F018XI201CA,460380
628377,F018XI201CA,460380
632928,R018XI999CA,461852
638310,R018XC999CA,463573
642552,F022AI202CA,464984
642748,R018XC999CA,465083
627948,F018XI200CA,460273
628382,F018XI201CA,460382
632932,F018XI200CA,461853
638317,R018XC999CA,463574
642750,R018XC999CA,465084
627951,F018XI205CA,460274
628387,F018XI201CA,460384
628387,F018XI201CA,640463
632940,F018XI200CA,461854
638321,R018XC999CA,463575
642752,R018XC999CA,465085
627956,F018XI205CA,460275
628393,F018XI201CA,460386
628393,F018XI201CA,640464
638326,R018XC999CA,463576
627960,F018XI205CA,460276
628399,F018XI201CA,640465
628399,F018XI201CA,640465
638329,R018XC999CA,463577
665869,R018XA999CA,471121
627969,F018XI205CA,460277
628406,R018XI111CA,460390
665874,R018XA999CA,471122
2503604,R018XC101CA,463578
627972,F018XI201CA,460278
628411,R018XI999CA,460392
637526,R018XC105CA,463234
627979,F018XI201CA,460279
628417,F018XI201CA,460394
628417,R018XI999CA,640466
637602,R018XC105CA,463250
627983,F018XI200CA,460280
628423,R018XI999CA,460396
642902,R018XC999CA,465164
642883,R018XC999CA,465157
627987,F018XI201CA,460281
628428,F018XI201CA,460398
632972,R018XY999CA,461861
627992,F018XI201CA,460282
628434,F018XI201CA,460400
651081,R018XA999CA,461205
627996,F018XI201CA,460283
628440,R018XI105CA,460402
642886,R018XC999CA,465158
665901,R018XA999CA,471128
1425345,R018XA999CA,727222
628001,F018XI201CA,460284
628445,R018XI999CA,640467
628446,F018XI202CA,460404
642889,R018XC999CA,465159
628006,R018XI106CA,460285
628450,F018XI201CA,460406
638383,R018XC999CA,463586
665908,R018XA999CA,471130
628012,R018XI999CA,460286
628459,F018XI201CA,460408
638389,R018XC999CA,463587
642891,R018XC999CA,465160
628018,R018XI999CA,460287
628465,R018XI999CA,460410
638394,R018XC999CA,463588
665916,R018XA999CA,471132
628025,R018XI999CA,460288
628468,R018XI999CA,460412
638400,R018XC999CA,463589
628032,R018XI999CA,460289
628471,R018XI999CA,460414
633014,R018XI999CA,461869
638405,R018XC999CA,463590
642899,R018XC999CA,465162
628038,R018XI999CA,460290
2443089,F018XC201CA,463591
628046,R018XI999CA,460291
642966,,465194
665933,R018XA999CA,471136
2443099,F018XC201CA,463592
628050,R018XI999CA,460292
638423,F018XC201CA,463593
628055,F018XI200CA,460293
638429,F018XC201CA,463594
642792,R018XC999CA,465104
628061,F018XI200CA,460294
631855,R018XI999CA,461140
635764,R018XY999CA,1403412
638436,R018XC999CA,463595
665947,R018XA999CA,471139
628064,F018XI205CA,460295
638444,R018XY999CA,463596
628071,F018XI205CA,460296
633059,F018XI208CA,461876
638450,R018XC999CA,463597
642598,F022AG202CA,465008
628076,R018XI106CA,460297
628505,R018XI999CA,460430
638454,R018XC999CA,463598
635766,R018XI999CA,1403414
638458,R018XC999CA,463599
638463,R018XC999CA,463600
628520,R018XI999CA,460436
638469,R018XC999CA,463601
628090,R018XI999CA,460301
628527,R018XI999CA,460438
638475,R018XC999CA,463602
628093,R018XI999CA,460302
638482,R018XC999CA,463603
628097,R018XI999CA,460303
638490,R018XC999CA,463604
628103,R018XI999CA,460304
638498,R018XC999CA,463605
628108,R018XI999CA,460305
628543,R018XI999CA,460446
638505,R018XC999CA,463606
628113,R018XI999CA,460306
638510,R018XC999CA,463607
628118,R018XI999CA,460307
638515,R018XC999CA,463608
628122,R018XI107CA,460308
628555,R018XI999CA,460452
638521,R018XC999CA,463609
642625,F022AG202CA,465020
628127,R018XI107CA,460309
633126,R018XI999CA,461889
638527,R018XC999CA,463610
628134,R018XI999CA,460310
628137,R018XI999CA,460311
638534,R018XC999CA,463612
628140,R018XI102CA,460312
641577,R018XC105CA,464521
633146,R018XI999CA,461892
638540,R018XC999CA,463613
641585,R018XC105CA,464524
641588,R018XC105CA,464525
638545,R018XC999CA,463614
641591,R018XC105CA,464526
638548,R018XC999CA,463615
641597,R018XC105CA,464528
628157,R018XI107CA,460316
641571,R018XC103CA,464519
628161,R018XI107CA,460317
641574,R018XC103CA,464520
638556,R018XC999CA,463618
642644,F022AI202CA,465029
628167,R018XI107CA,460318
638349,R018XC104CA,463581
