"","mlrassoarea","nonmlrassaarea","projecttypename","fiscalyear","projectiid","projectname","areasymbol","areaname","pmu_seqnum","lmapunitiid","nationalmusym","musym","muname","mukind","mutype","mustatus","mustatus_new","muacres","farmlndcl","dmuiid","dmuiid_nonreps","dmudesc"
"1","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463239,"hk16","AhD","Auburn loam, 2 to 15 percent slopes","consociation",NA,"correlated","correlated",9155,"0",292565,NA,"649AhD"
"2","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463240,"hk17","AhE2","Auburn loam, 15 to 30 percent slopes, eroded","consociation",NA,"correlated","correlated",3676,"0",292566,NA,"649AhE2"
"3","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463243,"hk1b","AnE","Auburn very rocky loam, 15 to 30 percent slopes","complex",NA,"correlated","correlated",46268,"0",292569,NA,"649AnE"
"4","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463244,"hk1c","AnG2","Auburn very rocky loam, 30 to 75 percent slopes, eroded","complex",NA,"correlated","correlated",36786,"0",292570,NA,"649AnG2"
"5","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463245,"hk1d","BdD","Blasingame loam, 2 to 15 percent slopes","consociation",NA,"correlated","correlated",5001,"0",292571,NA,"649BdD"
"6","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463246,"hk1f","BdE","Blasingame loam, 15 to 30 percent slopes","consociation",NA,"correlated","correlated",4769,"0",292572,NA,"649BdE"
"7","2-SON","CA649","MLRA",2020,214249,"MLRA 18 - CA649 Auburn & Blasingame 999 Map Units on Volcanic Rocks","CA649","Mariposa County Area, California",NA,463248,"hk1h","BeF","Blasingame rocky loam, 15 to 50 percent slopes","consociation",NA,"correlated","correlated",8460,"0",292574,NA,"649BeF"
"8","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,462640,"hjdw","MIN","Mines and pits","consociation",NA,"additional","correlated",177,"0",299384,"291971","GRAVEL PITS"
"9","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463261,"hk1x","CaC","Clayey alluvial land","consociation",NA,"correlated","correlated",1956,"30",292587,NA,"649CaC"
"10","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,894252,"z0jv","DAM","Dams","consociation",NA,"correlated","correlated",46,"0",296654,NA,"DAM"
"11","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463279,"hk2h","LdC","Loamy alluvial land","consociation",NA,"correlated","correlated",6751,"4",292605,NA,"649LdC"
"12","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,894253,"z0jw","MD","Miscellaneous dumps","consociation",NA,"correlated","correlated",50,"0",296103,NA,"DUMPS"
"13","2-SON",NA,"MLRA",NA,218747,"MLRA 18 - CA649 Rockland & Miscellaneous Areas (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463293,"hk2y","RcG","Rock land","consociation",NA,"correlated","correlated",20251,"0",292619,NA,"649RcG"
"14","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)",NA,NA,NA,NA,"2z5lj",NA,"Dunstone-Argonaut complex, 1 to 12 percent slopes","complex","mlra map unit",NA,"correlated",NA,NA,859774,NA,"MLRA 18 - Jgo - Dunstone-Argonaut cplx, 1 to 12 - (7083b) - 2z5lj"
"15","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)",NA,NA,NA,NA,"2z5lk",NA,"Bonanza-Loafercreek complex, 3 to 15 percent slopes, low precipitation","complex","mlra map unit",NA,"correlated",NA,NA,859765,NA,"MLRA 18 - Jgo - Bonanza-Loafercreek cplx, 3 to 15, lo precip (7085b) - 2z5lk"
